79,1
103,1
141,1
84,1
56,1
82,1
99,1
136,1
100,2
70,2
81,1
35,31
28,92
69,3
29,73
108,1
34,35
25,108
24,129
20,246
22,176
27,79
15,891
94,1
23,144
30,66
19,333
18,420
33,20
12,2903
42,18
5,99140
6,58995
4,159509
21,176
40,12
3,227950
1,295379
80,1
39,16
2,275736
8,20130
10,7480
89,1
7,33702
86,1
17,488
9,11749
13,1792
92,1
16,727
14,1334
11,4258
90,1
46,6
31,39
134,1
55,6
38,17
284,1
117,1
26,102
43,3
32,34
49,5
54,3
52,6
36,27
58,2
59,2
65,1
37,16
60,3
44,9
62,1
41,15
48,5
78,2
51,3
76,2
71,2
77,3
61,4
45,3
64,4
47,6
57,1
53,5
50,3
63,1
