36,1
37,1
34,2
141,1
165,1
248,1
48,1
215,1
98,1
67,1
164,1
175,1
125,1
50,1
64,2
96,1
163,1
154,1
66,1
233,1
89,1
188,2
46,1
174,1
237,2
166,2
173,1
53,1
145,1
60,1
101,1
177,1
78,2
75,1
180,1
158,1
149,1
54,1
221,1
172,1
107,1
90,3
151,2
184,1
152,1
228,1
61,2
42,3
79,2
52,1
57,1
224,1
94,1
261,1
108,1
146,2
72,2
58,2
92,2
168,2
80,1
247,1
251,1
84,3
82,1
161,2
192,4
104,3
183,1
144,1
65,2
176,1
97,2
106,2
185,4
117,5
210,2
43,4
122,2
41,1
199,3
120,1
115,2
124,3
159,2
91,3
236,2
157,2
160,2
49,3
128,2
100,3
179,2
150,2
223,1
56,2
214,1
147,1
68,1
241,1
74,2
222,1
143,1
105,1
134,1
127,3
112,1
130,4
136,3
87,2
186,1
28,2
45,1
212,2
198,1
119,1
200,1
63,1
142,3
111,4
240,1
73,1
93,2
226,1
59,2
138,2
99,3
85,1
95,1
114,2
140,3
126,1
102,4
129,2
244,1
77,2
156,3
189,2
139,3
109,2
202,1
123,2
162,3
76,1
