135,1
88,1
86,1
122,1
120,1
76,2
115,1
94,2
83,1
99,2
134,1
80,1
136,1
82,2
97,2
81,4
66,6
77,1
133,1
85,3
96,1
90,2
60,7
119,1
84,2
33,92
34,72
32,91
30,142
35,69
31,109
29,156
28,175
21,457
22,409
23,342
26,244
27,182
24,302
103,1
25,268
104,2
20,587
16,1230
95,1
17,925
18,862
43,29
6,25462
5,42789
171,1
4,82159
3,185475
1,4582734
2,602666
19,670
174,1
7,16471
8,10865
10,5521
14,1896
9,7660
11,3991
13,2398
12,3108
15,1459
41,47
42,42
36,71
37,47
38,40
47,20
39,44
53,13
68,5
57,9
56,4
50,19
58,12
45,26
40,40
46,28
48,14
67,8
70,4
52,10
55,9
51,13
54,18
44,28
73,4
49,15
71,3
79,2
64,2
69,9
65,8
63,9
78,4
72,6
75,7
62,7
74,5
59,4
61,9
